  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     0.974
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     21.20     1.58859756   -0.00065545
     21.30     1.58457811   -0.00063424
     21.40     1.58061747   -0.00061344
     21.50     1.57665344   -0.00059329
     21.60     1.57265280   -0.00057319
     21.70     1.56876062   -0.00055347
     21.80     1.56544959   -0.00053593
     21.90     1.56209502   -0.00051871
     22.00     1.55891221   -0.00050201
     22.10     1.55588157   -0.00048578
     22.20     1.55288987   -0.00046988
     22.30     1.54999654   -0.00045430
     22.40     1.54712292   -0.00043877
     22.50     1.54421579   -0.00042310
     22.60     1.54125732   -0.00040718
     22.70     1.53831581   -0.00039130
     22.80     1.53540120   -0.00037552
     22.90     1.53267345   -0.00036073
     23.00     1.53090287   -0.00035076
     23.10     1.52914765   -0.00034084
     23.20     1.52742467   -0.00033084
     23.30     1.52569989   -0.00032078
     23.40     1.52375385   -0.00030954
     23.50     1.52186462   -0.00029823
     23.60     1.52006501   -0.00028689
     23.70     1.51824615   -0.00027542
     23.80     1.51641028   -0.00026362
     23.90     1.51482409   -0.00025143
     24.00     1.51323552   -0.00023923
     24.10     1.51167665   -0.00022720
     24.20     1.51015495   -0.00021504
     24.30     1.50861055   -0.00020267
     24.40     1.50706916   -0.00019031
     24.50     1.50552665   -0.00017800
     24.60     1.50375775   -0.00016471
     24.70     1.50148231   -0.00014881
     24.80     1.49922157   -0.00013293
     24.90     1.49687879   -0.00011706
     25.00     1.49454112   -0.00010121
     25.10     1.49223849   -0.00008551
     25.20     1.48989312   -0.00006977
     25.30     1.48752754   -0.00005401
     25.40     1.48517056   -0.00003828
     25.50     1.48280528   -0.00002256
     25.60     1.48017859   -0.00000624
     25.70     1.47736504    0.00001057
     25.80     1.47456349    0.00002735
     25.90     1.47148939    0.00004474
     26.00     1.46820589    0.00006281
     26.10     1.46493434    0.00008086
     26.20     1.46164667    0.00009894
     26.30     1.45837615    0.00011686
     26.40     1.45534766    0.00013307
     26.50     1.45230835    0.00014932
     26.60     1.44928142    0.00016552
     26.70     1.44629710    0.00018147
     26.80     1.44344291    0.00019661
     26.90     1.44059690    0.00021175
     27.00     1.43775344    0.00022688
     27.10     1.43499510    0.00024183
     27.20     1.43328963    0.00025148
     27.30     1.43162871    0.00026097
     27.40     1.42998035    0.00027046
     27.50     1.42826698    0.00028020
     27.60     1.42660254    0.00028980
     27.70     1.42495780    0.00029933
     27.80     1.42331861    0.00030885
     27.90     1.42168690    0.00031840
     28.00     1.42066943    0.00032646
     28.10     1.41971803    0.00033435
     28.20     1.41876945    0.00034224
     28.30     1.41852344    0.00034854
     28.40     1.41836861    0.00035452
     28.50     1.41822469    0.00036044
     28.60     1.41794309    0.00036677
     28.70     1.41764817    0.00037324
     28.80     1.41736071    0.00037967
     28.90     1.41707708    0.00038596
     29.00     1.41681623    0.00039216
     29.10     1.41650161    0.00039846
     29.20     1.41601296    0.00040522
     29.30     1.41524648    0.00041291
     29.40     1.41405813    0.00042196
     29.50     1.41266285    0.00043161
     29.60     1.41107379    0.00044199
     29.70     1.40947852    0.00045238
     29.80     1.40786090    0.00046279
     29.90     1.40622601    0.00047327
     30.00     1.40440985    0.00048439
     30.10     1.40200541    0.00049741
     30.20     1.39966643    0.00051021
     30.30     1.39706856    0.00052329
     30.40     1.39449742    0.00053618
     30.50     1.39207093    0.00054845
     30.60     1.38959130    0.00056030
     30.70     1.38674866    0.00057311
     30.80     1.38391611    0.00058588
     30.90     1.38120383    0.00059776
     31.00     1.37862544    0.00060883
     31.10     1.37653921    0.00061820
     31.20     1.37463357    0.00062693
     31.30     1.37282682    0.00063550
     31.40     1.37106928    0.00064391
     31.50     1.36936688    0.00065213
     31.60     1.36789445    0.00065959
     31.70     1.36668260    0.00066621
     31.80     1.36530233    0.00067371
     31.90     1.36384101    0.00068177
     32.00     1.36239132    0.00068980
     32.10     1.36096701    0.00069772
     32.20     1.35955163    0.00070564
     32.30     1.35811964    0.00071364
     32.40     1.35669216    0.00072171
     32.50     1.35524387    0.00072996
     32.60     1.35378614    0.00073826
     32.70     1.35228279    0.00074684
     32.80     1.35066131    0.00075630
     32.90     1.34885496    0.00076680
     33.00     1.34703117    0.00077733
     33.10     1.34530949    0.00078807
     33.20     1.34435743    0.00079660
     33.30     1.34361806    0.00080449
     33.40     1.34409326    0.00080854
     33.50     1.34442622    0.00081425
     33.60     1.34457568    0.00082080
     33.70     1.34468069    0.00082746
     33.80     1.34480227    0.00083407
     33.90     1.34464704    0.00084207
     34.00     1.34416095    0.00085170
     34.10     1.34366518    0.00086136
     34.20     1.34299183    0.00087156
     34.30     1.34143373    0.00088627
     34.40     1.33685891    0.00091657
     34.50     1.33266930    0.00094558
     34.60     1.32875602    0.00097365
     34.70     1.32515021    0.00100040
     34.80     1.32585881    0.00100484
     34.90     1.32665236    0.00100896
     35.00     1.32793169    0.00101087
     35.10     1.32892572    0.00101309
     35.20     1.33082896    0.00101017
     35.30     1.33305195    0.00100555
     35.40     1.33524080    0.00100091
     35.50     1.33730918    0.00099699
     35.60     1.33932872    0.00099338
     35.70     1.34127780    0.00099005
     35.80     1.34323014    0.00098672
     35.90     1.34517222    0.00098351
     36.00     1.34705695    0.00098057
     36.10     1.34884967    0.00097813
     36.20     1.35065641    0.00097563
     36.30     1.35250039    0.00097296
     36.40     1.35428367    0.00097060
     36.50     1.35552274    0.00097107
     36.60     1.35679084    0.00097141
     36.70     1.35809443    0.00097157
     36.80     1.35942146    0.00097165
     36.90     1.36029067    0.00097413
     37.00     1.36118518    0.00097641
     37.10     1.36210775    0.00097850
     37.20     1.36307113    0.00098046
     37.30     1.36407199    0.00098227
